,Allwords,Unweighted Clustering Score,Weighted Clustering Score,Categorical Reasoning Score
0,"APPROVAL, BLESSING, CONSENT, SUPPORT, BAGEL, LIFESAVER, TIRE, WREATH, HOOK, SHANK, SLICE, WHIFF, LOAF, SLIP, SNEAK, WADE",2,4,2
1,"BOILING, FUMING, LIVID, STEAMING, POSITION, RANKING, STANDING, STATION, AIR, CONDITIONING, HEATING, VENTILATION, BAKING, LAUNDRY, ORIGAMI, POKER",4,10,2
2,"RUMBLING, SPECULATION, TALK, WHISPERS, CREEP, SLIP, STEAL, TIPTOE, BUDGET, ENTERPRISE, NATIONAL, THRIFTY, ENVIRON, JARGON, LATIN, PLEAD",0,0,0
3,"DISPLAY, MONITOR, SCREEN, TERMINAL, BOA, CORSET, FAN, GLOVES, BUFF, CREAM, FAWN, TAN, BASK, CHECK, FINISH, TIE",2,4,2
4,"PROJECTOR, REEL, SCREEN, SPEAKER, DECK, FLOOR, LEVEL, STORY, GLOBE, MIRROR, POST, SUN, EGG, MOON, STREAK, TOILET PAPER",2,3,1
5,"CAKE, COAT, PLASTER, SMEAR, BALLOON, BASKETBALL, FLOATIE, TIRE, BAR, BUBBLE, LINE, PIE, FIZZ, PUNCH, SLING, SOUR",0,0,0
6,"BLOW, DRAFT, GUST, PUFF, CRANK, REEL, TURN, WIND, BULL, CRAB, LION, RAM, CAT, GRINCH, POP, TURTLE",3,6,3
7,"BLUES, COUNTRY, FOLK, ROCK, BRAT, BUN, MUSTARD, SAUERKRAUT, CHAIR, MOUNTAIN, TREE, WARRIOR, COCONUT, SOULMATE, UPDO, WALLET",2,3,2
8,"ALARM, HOUR, SNOOZE, TIME SET, PERHAPS, SAY, SUPPOSE, WHAT IF, KISS, NERD, RUNT, WHOPPER, DO, DOPE, GRUMP, SLEEP",1,2,1
9,"DIALECT, LANGUAGE, SPEECH, TONGUE, FRENCH, KISS, MAKE OUT, NECK, BANDAGE, DRESSING, SCISSORS, TAPE, COTTAGE, CRAFTSMAN, PRAIRIE, RANCH",1,1,1
10,"AVERAGE, FAIR, OK, SO-SO, HI, MA, OR, PA, ANKLE, COWBOY, GO-GO, THIGH-HIGH, ELEVATOR, SUN, TIDE, YO-YO",0,0,0
11,"EXTENT, RANGE, REACH, SCOPE, COMPLEMENT, MATCH, MATE, PARTNER, BUD, NATTY, SIERRA, STELLA, CHECK, DIRT, PAL, PHONE",2,4,1
12,"BOO-BOO, FLUB, GAFFE, GOOF, DAISY, JASMINE, PETUNIA, POPPY, BUZZ, DANCE, POLLINATE, STING, BABE, LOU, MICKEY, YOGI",2,3,2
13,"SAID, SPOKE, TOLD, VOICED, DESIGNATION, HANDLE, MONIKER, SOBRIQUET, CLEAR, MARKED, PRONOUNCED, STRIKING, PORTER, POWER, ROUGH, WHEEL",2,6,1
14,"GOLD, LEAD, MERCURY, TIN, FULL, KING, QUEEN, TWIN, CAN, HEAD, JOHN, THRONE, BOWIE, BUTCHER, BUTTER, BUTTERFLY",1,1,1
