 ,Connections Categories,Words in Category,Gemini,Claude,GPT4o,Llama,Type of Reasoning
0.0,POP MEGASTARS,"['GRANDE', 'MARS', 'STYLES', 'SWIFT']",0,1,0,0.0,Encyclopedic Knowledge
1.0,METHOD,"['CHANNEL', 'MEANS', 'MEDIUM', 'VEHICLE']",0,0,0,0.0,Semantic Knowledge
2.0,"UNLIKELY, AS CHANCES","['OUTSIDE', 'REMOTE', 'SLIM', 'SMALL']",0,0,0,0.0,Associative Knowledge
3.0,LIVING ___,"['LARGE', 'LEGEND', 'PROOF', 'ROOM']",0,0,0,0.0,Multiword Expressions
4.0,ROOMS IN THE GAME CLUE,"['HALL', 'LIBRARY', 'LOUNGE', 'STUDY']",0,0,0,0.0,Encyclopedic Knowledge
5.0,COLLEAGUE,"['ASSOCIATE', 'FELLOW', 'PARTNER', 'PEER']",0,0,1,1.0,Semantic Knowledge
6.0,SEEN DURING EASTER,"['BUNNY', 'EGG', 'JELLY BEAN', 'PEEP']",0,0,1,0.0,Associative Knowledge
7.0,WHAT A MOLE CAN BE,"['ANIMAL', 'BIRTHMARK', 'SPY', 'UNIT']",0,0,0,0.0,Semantic Knowledge
8.0,LARGE AMOUNT,"['MASS', 'SEA', 'SLEW', 'TON']",0,0,1,0.0,Semantic Knowledge
9.0,FALL IN UNDER PRESSURE,"['BUCKLE', 'CAVE', 'COLLAPSE', 'GIVE']",0,0,0,0.0,Semantic Knowledge
10.0,WAYS TO GET ATTENTION,"['SHOUT', 'SNAP', 'WAVE', 'WHISTLE']",0,0,0,0.0,Associative Knowledge
11.0,BELLY ___,"['BUTTON', 'DANCE', 'FLOP', 'LAUGH']",0,0,0,0.0,Multiword Expressions
12.0,INTELLIGENCE OPERATIVE,"['AGENT', 'ASSET', 'MOLE', 'SLEEPER']",1,0,1,1.0,Semantic Knowledge
13.0,UNITS IN POETRY,"['FOOT', 'LINE', 'METER', 'VERSE']",0,0,0,0.0,Semantic Knowledge
14.0,EXPRESS INDIRECTLY,"['COUCH', 'IMPLY', 'INTIMATE', 'SUGGEST']",0,0,0,0.0,Semantic Knowledge
15.0,WHAT “K” MIGHT MEAN,"['KELVIN', 'OKAY', 'POTASSIUM', 'THOUSAND']",0,0,0,0.0,Encyclopedic Knowledge
16.0,GARLIC BREAD INGREDIENTS,"['BREAD', 'BUTTER', 'GARLIC', 'PARSLEY']",1,0,0,1.0,Associative Knowledge
