,Category,Reasoning Type,gpt4o,claude3.5sonnet,llama3.1405B,gemini1.5pro,mistral2large
0,OFFICIAL SANCTIONING,semantic relations,1,1,1,1,1
1,TORUS-SHAPED THINGS,associative relations,0,1,0,1,0
2,BAD GOLF SHOTS,semantic relations,1,0,0,0,0
3,"FOOTWEAR MINUS ""ER"" SOUND",word meaning + word form,0,1,0,0,0
4,HOPPING MAD,semantic relations,0,1,1,0,0
5,STATUS,semantic relations,0,1,1,0,0
6,"WORDS THAT MAKE UP THE ACRONYM ""HVAC",encyclopedic,1,1,1,0,0
7,ACTIVITIES THAT INVOLVE FOLDING,semantic relations,1,0,0,0,0
8,HEARSAY,semantic relations,0,0,0,0,0
9,MOVE STEALTHILY,semantic relations,0,1,0,1,0
10,CAR RENTAL COMPANIES,encyclopedic,0,0,0,0,0
11,ENDING WITH CHEMICAL ELEMENTS,word meaning + word form,0,0,0,0,0
12,VISUAL INTERFACE,semantic relations,1,1,1,0,1
13,BURLESQUE WEAR,semantic relations,0,0,0,0,0
14,BEIGE SHADES,semantic relations,1,0,0,1,0
15,LANGUAGE HOMOPHONES,word meaning + word form,0,0,0,0,0
16,CLASSIC MOVIE THEATER EQUIPMENT,semantic relations,1,1,0,0,0
17,TIER,semantic relations,0,1,0,0,0
18,NEWSPAPER NAMES,encyclopedic,0,0,0,0,0
19,PRANK VERBS,semantic relations,0,0,0,0,0
20,COVER WITH A THICK LAYER,semantic relations,0,0,0,0,0
21,THINGS THAT ARE INFLATED,associative relations,0,1,0,0,0
22,KINDS OF CHARTS,semantic relations,0,0,0,0,0
23,CLASSIC COCKTAIL TYPES,encyclopedic,0,0,0,0,0
24,RUSH OF WIND,semantic relations,1,0,0,0,0
25,ROTATE,semantic relations,1,0,0,1,0
26,ZODIAC SYMBOLS,encyclopedic,1,0,0,0,0
27,DR. SEUSS TITLE FIGURES,encyclopedic,0,0,0,0,0
28,MUSIC GENRES,semantic relations,1,1,1,1,1
29,BRATWURST GO-WITHS,semantic relations,1,0,0,0,0
30,YOGA POSES,associative relations,0,0,0,0,0
31,STARTING WITH PIXAR MOVIES,word meaning + word form,0,0,0,0,0
32,ALARM CLOCK BUTTONS,semantic relations,0,0,0,0,0
33,HERE'S A THOUGHT ...,semantic relations,1,1,0,1,0
34,CANDY PIECES,semantic relations,0,0,0,0,0
35,SEVEN DWARFS MINUS LAST LETTER,word meaning + word form,0,0,0,0,0
36,SPOKEN COMMUNICATION,semantic relations,1,0,1,0,0
37,CANOODLE,semantic relations,0,0,1,0,0
38,FIRST AID KIT ITEMS,semantic relations,0,0,1,0,1
39,HOUSE STYLES,semantic relations,0,0,1,0,1
40,MEH,semantic relations,0,1,0,0,0
41,U.S. STATE ABBREVIATIONS,encyclopedic,0,0,0,0,0
42,KINDS OF BOOTS,semantic relations,0,0,0,0,0
43,THINGS THAT GO UP AND DOWN,associative relations,0,0,0,0,0
44,BREADTH,semantic relations,1,1,0,0,1
45,OTHER HALF,semantic relations,0,0,1,0,0
46,"BEERS, FAMILIARLY",encyclopedic,0,1,0,0,0
47,"WORDS AFTER ""PAY",multiword expressions,0,0,0,0,0
48,BLUNDER,semantic relations,1,1,1,0,0
49,FLOWERS,semantic relations,1,1,1,1,1
50,THINGS BEES DO,semantic relations,0,1,0,0,0
51,FIRST NAMES OF YANKEES LEGENDS,encyclopedic,0,0,0,0,0
52,STATED,semantic relations,0,1,0,1,1
53,NICKNAME,semantic relations,1,1,0,1,0
54,OBVIOUS,semantic relations,0,0,0,0,0
55,_HOUSE (THAT AREN'T HOUSES),word meaning + word form,0,1,0,0,0
56,METAL ELEMENTS,encyclopedic,1,1,1,1,1
57,MATTRESS SIZES,semantic relations,0,1,0,0,0
58,SLANG FOR TOILET,semantic relations,0,0,0,0,0
59,KINDS OF KNIVES,semantic relations,0,0,0,0,0
60,LARGE BOAT,semantic relations,1,1,1,1,1
61,ALL-TIME GREAT,semantic relations,1,0,0,0,0
62,REGARDING,semantic relations,1,0,1,0,0
63,HOMOPHONES OF BODY FEATURES,word meaning + word form,0,0,0,0,0
64,THINGS THAT ARE RED,associative relations,0,0,1,0,0
65,BE IN COMMISSION,semantic relations,0,0,0,0,0
66,MICROSOFT PRODUCTS,semantic relations,0,1,0,1,1
67,BIOPICS,encyclopedic,0,0,0,0,0
68,NOT PRESENT,semantic relations,1,1,1,1,1
69,SUPPORTER,semantic relations,0,0,0,1,1
70,ROCK GENRES,encyclopedic,0,1,0,1,0
71,SHOCK    _,multiword expressions,0,0,0,0,0
72,SPLASHY WAYS TO ENTER A POOL,semantic relations,1,1,1,1,1
73,REITERATE,semantic relations,0,1,1,0,0
74,MAINSTAY,semantic relations,1,1,0,1,0
75,_ RADIO,multiword expressions,0,1,1,0,0
76,CRAM,semantic relations,0,0,0,0,0
77,RESTAURANT JOBS,semantic relations,0,0,0,0,0
78,ELECTROMAGNETIC SPECTRUM,semantic relations,1,0,0,0,0
79,THINGS WITH BITS,semantic relations,0,0,0,0,0
80,FLUFFY WHITE THINGS,associative relations,0,0,0,0,0
81,ONE IN A RESEARCH STUDY,semantic relations,0,1,0,0,1
82,TAKE ISSUE,semantic relations,0,0,0,0,0
83,_HORN,multiword expressions,0,0,0,0,0
84,SURVIVE,semantic relations,1,1,1,0,1
85,KINDS OF GREETING CARDS,semantic relations,1,1,0,0,0
86,ARE WE CLEAR?,semantic relations,1,1,0,0,0
87,"WORDS AFTER ""EYE",multiword expressions,0,0,0,0,0
88,KIDDO,semantic relations,0,0,0,1,0
89,UP FOR IT,semantic relations,0,0,1,1,0
90,BEGINNING WITH DOUBLE LETTERS,phonology,0,0,0,0,0
91,"NICKNAMES FOR THE SEA, WITH ""THE",word meaning + word form,0,0,0,0,0
92,BIT OF EXCITEMENT,semantic relations,0,0,1,0,0
93,TOLERATE,semantic relations,0,0,0,0,0
94,NONSENSE,semantic relations,0,1,1,0,0
95,THINGS TO CLICK,associative relations,0,0,0,0,0
96,"STRETCH, AS ONE'S PATIENCE",semantic relations,0,0,0,0,0
97,THINGS A DJ DOES,semantic relations,0,0,0,0,0
98,ADJECTIVES USED IN GRAMMAR,semantic relations,0,0,0,0,0
99,"WHAT ""GREEN"" MIGHT MEAN",semantic relations,0,0,0,0,0
100,PROMOTE,semantic relations,0,0,1,0,0
101,THROW,semantic relations,0,0,1,0,1
102,BOOKSTORE SECTIONS,semantic relations,0,1,1,1,1
103,_ SOCKS,multiword expressions,0,0,0,0,0
104,RASPY,semantic relations,1,0,1,0,0
105,FINGERS,semantic relations,0,0,0,0,0
106,ALE STYLES,semantic relations,0,0,1,1,0
107,FRENCH    _,multiword expressions,0,0,0,0,0
108,PEACHY KEEN,semantic relations,1,0,0,0,0
109,PROVIDE MORE DETAILS,semantic relations,1,0,0,0,0
110,ABILITY TO DO SOMETHING WELL,semantic relations,1,1,0,0,0
111,GROUP OF BUILDINGS,semantic relations,1,0,0,0,0
112,STADIUMS,semantic relations,1,0,0,0,0
113,STREET SUFFIXES,semantic relations,0,0,0,0,0
114,ASSOCIATED WITH SCALES,semantic relations,0,0,0,0,0
