" ",Connections Categories,Words in Category,Gemini,Claude,GPT4o,Llama3-70B,Type of Reasoning
0,POP MEGASTARS,"['GRANDE', 'MARS', 'STYLES', 'SWIFT']",0,1,0,0,Encyclopedic Knowledge
1,METHOD,"['CHANNEL', 'MEANS', 'MEDIUM', 'VEHICLE']",0,0,0,0,Semantic Knowledge
2,"UNLIKELY, AS CHANCES","['OUTSIDE', 'REMOTE', 'SLIM', 'SMALL']",0,0,0,0,Associative Knowledge
3,LIVING ___,"['LARGE', 'LEGEND', 'PROOF', 'ROOM']",0,0,0,0,Multiword Expressions
4,ROOMS IN THE GAME CLUE,"['HALL', 'LIBRARY', 'LOUNGE', 'STUDY']",0,0,0,0,Encyclopedic Knowledge
5,COLLEAGUE,"['ASSOCIATE', 'FELLOW', 'PARTNER', 'PEER']",0,0,1,1,Semantic Knowledge
6,SEEN DURING EASTER,"['BUNNY', 'EGG', 'JELLY BEAN', 'PEEP']",0,0,1,0,Associative Knowledge
7,WHAT A MOLE CAN BE,"['ANIMAL', 'BIRTHMARK', 'SPY', 'UNIT']",0,0,0,0,Semantic Knowledge
8,LARGE AMOUNT,"['MASS', 'SEA', 'SLEW', 'TON']",0,0,1,0,Semantic Knowledge
9,FALL IN UNDER PRESSURE,"['BUCKLE', 'CAVE', 'COLLAPSE', 'GIVE']",0,0,0,0,Semantic Knowledge
10,WAYS TO GET ATTENTION,"['SHOUT', 'SNAP', 'WAVE', 'WHISTLE']",0,0,0,0,Associative Knowledge
11,BELLY ___,"['BUTTON', 'DANCE', 'FLOP', 'LAUGH']",0,0,0,0,Multiword Expressions
12,INTELLIGENCE OPERATIVE,"['AGENT', 'ASSET', 'MOLE', 'SLEEPER']",1,0,1,1,Semantic Knowledge
13,UNITS IN POETRY,"['FOOT', 'LINE', 'METER', 'VERSE']",0,0,0,0,Semantic Knowledge
14,EXPRESS INDIRECTLY,"['COUCH', 'IMPLY', 'INTIMATE', 'SUGGEST']",0,0,0,0,Semantic Knowledge
15,WHAT “K” MIGHT MEAN,"['KELVIN', 'OKAY', 'POTASSIUM', 'THOUSAND']",0,0,0,0,Encyclopedic Knowledge
16,GARLIC BREAD INGREDIENTS,"['BREAD', 'BUTTER', 'GARLIC', 'PARSLEY']",1,0,0,1,Associative Knowledge
17,WAGER,"['BET', 'GAMBLE', 'RISK', 'STAKE']",1,1,1,0,Semantic Knowledge
18,DISNEYLAND LANDS,"['ADVENTURE', 'FANTASY', 'FRONTIER', 'TOMORROW']",0,0,0,0,Encyclopedic Knowledge
19,___ BAT,"['BASEBALL', 'CRICKET', 'FRUIT', 'VAMPIRE']",0,0,0,0,Multiword Expressions
20,PROPEL INTO THE AIR,"['HOP', 'JUMP', 'LEAP', 'SPRING']",1,0,1,1,Semantic Knowledge
21,PLACE TO STORE VALUABLES,"['CHEST', 'COFFER', 'SAFE', 'VAULT']",1,0,1,1,Semantic Knowledge
22,PERIOD,"['AGE', 'DAY', 'ERA', 'TIME']",1,0,1,1,Semantic Knowledge
23,ANIMALS BACKWARD,"['DRIB', 'FLOW', 'REED', 'TANG']",0,0,0,0,Linguistic Knowledge
24,"CHEESES, FAMILIARLY","['AMERICAN', 'BLUE', 'JACK', 'SWISS']",0,0,0,0,Semantic Knowledge
25,TRACK AND FIELD EQUIPMENT,"['HAMMER', 'HURDLE', 'JAVELIN', 'POLE']",0,0,1,0,Semantic Knowledge
26,KINDS OF HEELS,"['CUBAN', 'KITTEN', 'STILETTO', 'WEDGE']",0,0,0,0,Semantic Knowledge
27,DOUBLE ___,"['DATE', 'DUTCH', 'JEOPARDY', 'SPACE']",0,0,0,0,Multiword Expressions
28,'80S FASHION TRENDS,"['HEADBAND', 'MULLET', 'NEON', 'SPANDEX']",0,0,0,0,Encyclopedic Knowledge
29,GYMNASTICS POSITIONS,"['PIKE', 'SPLIT', 'STRADDLE', 'TUCK']",0,0,0,0,Semantic Knowledge
30,KINDS OF CRACKERS,"['ANIMAL', 'GOLDFISH', 'OYSTER', 'RITZ']",0,0,0,0,Encyclopedic Knowledge
31,___ LADDER,"['CORPORATE', 'ROPE', 'SALMON', 'WORD']",0,0,0,0,Multiword Expressions
32,BASIC TASTES,"['BITTER', 'SALTY', 'SOUR', 'SWEET']",1,0,1,1,Semantic Knowledge
33,"STAND UP TO, AS A CHALLENGE","['BRAVE', 'CONFRONT', 'FACE', 'MEET']",0,0,0,0,Semantic Knowledge
34,ILK,"['KIND', 'SORT', 'TYPE', 'VARIETY']",0,0,0,0,Semantic Knowledge
